%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1592384422184799807,62,1592384311395399805,map,6.43060309122,0.64184123222,0.0,0.0,0.0,-0.976661543447,0.214784146415,0.251674299295,0.00711004780126,0.0,0.0,0.0,0.0,0.00711004780126,0.248206766059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691315932053
1592384429753733081,63,1592384429679948805,map,6.00894642179,0.343329091389,0.0,0.0,0.0,-0.999765109907,0.0216731403724,0.246347326296,0.00445326445186,0.0,0.0,0.0,0.0,0.00445326445186,0.243860848604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685779872768
1592384430354860762,64,1592384430281363805,map,5.19083598785,0.147193585918,0.0,0.0,0.0,-0.998978692261,0.0451837626747,0.252414624255,0.00334414998002,0.0,0.0,0.0,0.0,0.00334414998002,0.260753935417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0668107848897
1592384431056390223,65,1592384430983017805,map,4.37148981721,0.207288774858,0.0,0.0,0.0,-0.999263234113,0.0383795381669,0.25308868561,0.00429109224738,0.0,0.0,0.0,0.0,0.00429109224738,0.24588463962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066291670472
1592384431758109007,66,1592384431634582805,map,3.41429440176,0.186367825085,0.0,0.0,0.0,0.999903390427,0.0138999932925,0.253461444021,-0.00250047796283,0.0,0.0,0.0,0.0,-0.00250047796283,0.257372414282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0660455955513
1592384432458678008,67,1592384432336328805,map,2.81801453822,0.21097302204,0.0,0.0,0.0,0.999868705359,0.0162040749067,0.252400062783,-0.00339759244386,0.0,0.0,0.0,0.0,-0.00339759244386,0.245091012617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0670930093989
1592384433058838997,68,1592384432887593805,map,1.21992394131,0.206488661091,0.0,0.0,0.0,0.999939976687,0.0109564147471,0.245545225252,0.00446574875482,0.0,0.0,0.0,0.0,0.00446574875482,0.2541541637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674260387187
1592384433858626746,69,1592384433739628805,map,1.16804701406,0.779412600139,0.0,0.0,0.0,0.594628522279,0.804000572445,0.248873023693,-0.000194254492257,0.0,0.0,0.0,0.0,-0.000194254492257,0.255759812392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671631396343
1592384434557294525,70,1592384434441314805,map,1.24346998872,1.34774103252,0.0,0.0,0.0,0.483947686194,0.875096930075,0.251015996282,0.00226882088043,0.0,0.0,0.0,0.0,0.00226882088043,0.256534543664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070011552086
1592384435154144673,71,1592384435042711805,map,1.52001012232,2.00631275306,0.0,0.0,0.0,0.697088305411,0.716985281899,0.246317529283,-0.00480649415049,0.0,0.0,0.0,0.0,-0.00480649415049,0.256823188919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0680399078062
